amfi_code,sortino_ratio
100016,-0.34819649329934427
100025,-0.9153710101807716
100033,1.8238241972627258
101206,1.7855924363362794
101207,0.27461452215860305
101208,-1.3245832858235134
102885,1.4181944681640521
102886,-0.34497316430772207
102887,1.079015879265971
118632,1.8398591078307578
118633,1.1401442384066056
118634,0.7441226683128747
118635,1.1306024144645765
118636,-0.5990167703213255
119092,0.05190796692700414
119093,0.21952818138979094
119094,1.698389615666837
119095,-0.12704973476982573
119120,-0.36652252228876137
119551,2.1039516148962734
119552,1.603981065588482
119598,1.6612446603450644
119599,-0.0940801269915622
120503,1.329022947371194
120504,1.785043063465814
120505,2.010035191860813
120506,1.0883412607732081
120507,0.8275741041490527
120841,0.8548215679037273
120842,0.12351907927453668
120843,2.3529424215743195
120844,-0.14781470852431167
125497,1.3111598203205583
125498,0.5049628265693052
148567,2.3683417955595107
148568,1.6183896540412905
148569,2.1350828477007555
149322,0.7542016156829249
149323,1.8689354443325539
149324,1.6071246506009205
